Date : 2026-07-26 18:18:38
Directory : c:\cpp\cpp
Total : 513 files,  1605 codes, 20 comments, 403 blanks, all 2028 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        509 |      1,605 |         20 |        403 |      2,028 |
| Java     |          4 |          0 |          0 |          0 |          0 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\cpp\cpp\abc\460_A_Mod While Positive.cpp                    | C++      |        -29 |          0 |         -8 |        -37 |
| c:\cpp\cpp\abc\460_B_Two Rings.cpp                             | C++      |        -26 |          0 |         -8 |        -34 |
| c:\cpp\cpp\abc\460_C_Sushi.cpp                                 | C++      |        -39 |          0 |         -9 |        -48 |
| c:\cpp\cpp\abc\460_D_Repeatedly Repainting.cpp                 | C++      |        -66 |          0 |        -11 |        -77 |
| c:\cpp\cpp\abc\461\461_A_Armor.cpp                             | C++      |         22 |          0 |          6 |         28 |
| c:\cpp\cpp\abc\461\461_B_The Honest Woodcutters.cpp            | C++      |         37 |          0 |          7 |         44 |
| c:\cpp\cpp\abc\461\461_C_Variety .cpp                          | C++      |         55 |          0 |         15 |         70 |
| c:\cpp\cpp\abc\461\461_D_Count Subgrid Sum = K.cpp             | C++      |         54 |          0 |          9 |         63 |
| c:\cpp\cpp\abc\461_A_Armor.cpp                                 | C++      |        -22 |          0 |         -6 |        -28 |
| c:\cpp\cpp\abc\461_B_The Honest Woodcutters.cpp                | C++      |        -37 |          0 |         -7 |        -44 |
| c:\cpp\cpp\abc\461_C_Variety .cpp                              | C++      |        -55 |          0 |        -15 |        -70 |
| c:\cpp\cpp\abc\461_D_Count Subgrid Sum = K.cpp                 | C++      |        -54 |          0 |         -9 |        -63 |
| c:\cpp\cpp\牛客周赛\130,131\Round130_A_红美铃的访客登记.cpp                | C++      |         16 |          0 |          5 |         21 |
| c:\cpp\cpp\牛客周赛\130,131\Round130_B_爱丽丝的魔力零件分类.cpp              | C++      |         78 |          0 |         16 |         94 |
| c:\cpp\cpp\牛客周赛\130,131\Round131_C_Get The Sequence.cpp        | C++      |         60 |          0 |         16 |         76 |
| c:\cpp\cpp\牛客周赛\130,131\Round131_D_Longest Subsequence.cpp     | C++      |         60 |          0 |         13 |         73 |
| c:\cpp\cpp\牛客周赛\130,131\Round131_E_Eat The Candy.cpp           | C++      |         72 |          0 |         18 |         90 |
| c:\cpp\cpp\牛客周赛\130~139\Round130_A_红美铃的访客登记.cpp                | C++      |        -16 |          0 |         -5 |        -21 |
| c:\cpp\cpp\牛客周赛\130~139\Round130_B_爱丽丝的魔力零件分类.cpp              | C++      |        -78 |          0 |        -16 |        -94 |
| c:\cpp\cpp\牛客周赛\130~139\Round131_C_Get The Sequence.cpp        | C++      |        -60 |          0 |        -16 |        -76 |
| c:\cpp\cpp\牛客周赛\130~139\Round131_D_Longest Subsequence.cpp     | C++      |        -60 |          0 |        -13 |        -73 |
| c:\cpp\cpp\牛客周赛\130~139\Round131_E_Eat The Candy.cpp           | C++      |        -72 |          0 |        -18 |        -90 |
| c:\cpp\cpp\牛客周赛\130~139\Round132_A_ICPC Time.cpp               | C++      |        -11 |          0 |         -4 |        -15 |
| c:\cpp\cpp\牛客周赛\130~139\Round132_B_倍数.cpp                      | C++      |        -54 |          0 |        -11 |        -65 |
| c:\cpp\cpp\牛客周赛\130~139\Round132_C_邻合.cpp                      | C++      |        -65 |        -22 |        -17 |       -104 |
| c:\cpp\cpp\牛客周赛\130~139\Round132_D_对和.cpp                      | C++      |        -63 |          0 |        -12 |        -75 |
